Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference;erro
Peter Mancini, M.P.;1956-08-01;Sydney, Nova Scotia, Canada;;barrister and solicitor, lawyer;1274 days [3 year(s), 5 month(s), 26 day(s)];(1997-06-02 - 2000-11-26);1274 days [3 year(s), 5 month(s), 26 day(s)];;;;;;
J. Nicholas (Nick) Mandziuk, Q.C., M.P.;1902-12-13;Ukraine;1969-09-07;solicitor, barrister, insurance broker, lawyer, teacher;4033 days [11 year(s), 15 day(s)];(1957-06-10 - 1968-06-24);4033 days [11 year(s), 15 day(s)];;;;;;
Henry Philip Mang, M.P.;1897-12-11;Edenwold, Northwest Territories, Canada;1987-03-30;farmer;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;;;
The Hon. Robert James Manion, P.C., M.P.;1881-11-19;Pembroke, Ontario, Canada;1943-07-02;physician;6990 days [19 year(s), 1 month(s), 20 day(s)];(1917-12-17 - 1925-10-28)|(1925-10-29 - 1930-08-06)|(1930-08-25 - 1935-10-13)|(1938-11-14 - 1940-03-25);6990 days [19 year(s), 1 month(s), 20 day(s)];;;;;;
The Hon. John Paul Manley, P.C., M.P.;1950-01-05;Ottawa, Ontario, Canada;;barrister and solicitor, lawyer, teacher, business advisor;5698 days [15 year(s), 7 month(s), 6 day(s)];(1988-11-21 - 2004-06-27);5698 days [15 year(s), 7 month(s), 6 day(s)];;;;;;
James Douglas Manly, M.P.;1932-10-29;Saskatoon, Saskatchewan, Canada;;logger, factory worker, clergyperson;3199 days [8 year(s), 9 month(s), 3 day(s)];(1980-02-18 - 1988-11-20);3199 days [8 year(s), 9 month(s), 3 day(s)];;;;;;
Paul Manly, M.P.;;Port Alice, British Columbia, Canada;;researcher, filmmaker, communications specialist, small business owner;868 days [2 year(s), 4 month(s), 16 day(s)];(2019-05-06 - 2021-09-19);868 days [2 year(s), 4 month(s), 16 day(s)];;;;;;
The Hon. Ernest Charles Manning, P.C., Senator;1908-09-20;Carnduff, Saskatchewan, Canada;1996-02-19;management consultant, businessman;4732 days [12 year(s), 11 month(s), 14 day(s)];;;;(1970-10-07 - 1983-09-20);4732 days [12 year(s), 11 month(s), 14 day(s)];;;
The Hon. Ernest Preston Manning, P.C., M.P.;1942-06-10;Edmonton, Alberta, Canada;;author, management consultant, businessman;3021 days [8 year(s), 3 month(s), 8 day(s)];(1993-10-25 - 2002-01-31);3021 days [8 year(s), 3 month(s), 8 day(s)];;;;;;
The Hon. Fabian Manning, M.P., Senator;;St. Bride's, Newfoundland, Canada;;business manager, political assistant, development consultant;7264 days [19 year(s), 10 month(s), 20 day(s)];(2006-01-23 - 2008-10-13);995 days [2 year(s), 8 month(s), 22 day(s)];;(2009-01-02 - 2011-03-28)|(2011-05-25 - );6269 days [17 year(s), 1 month(s), 30 day(s)];;English;
Park Manross, M.P.;1895-06-10;United States;1951-01-24;advertising consultant, sales and marketing consultant, industrialist;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;;
David Ames Manson, M.P.;1841-12-24;Mansonville, Canada East;1929-02-09;telegrapher, merchant, postmaster;610 days [1 year(s), 8 month(s), 2 day(s)];(1880-10-18 - 1882-06-19);610 days [1 year(s), 8 month(s), 2 day(s)];;;;;;
Moe Mantha, M.P.;1933-12-13;North Bay, Ontario, Canada;2015-09-18;proprietor, professional hockey player, hatcheryman, businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;;
John Andrew Mara, M.P.;1840-07-21;Toronto, Upper Canada;1920-02-11;merchant;3409 days [9 year(s), 4 month(s)];(1887-02-22 - 1896-06-22);3409 days [9 year(s), 4 month(s)];;;;;;
Gilles Marceau, Q.C., M.P.;1928-09-27;Québec, Quebec, Canada;2008-04-19;lawyer;5915 days [16 year(s), 2 month(s), 10 day(s)];(1968-06-25 - 1979-05-21)|(1979-05-22 - 1984-09-03);5915 days [16 year(s), 2 month(s), 10 day(s)];;;;;;
Richard Marceau, M.P.;1970-08-25;Charlesbourg, Quebec, Canada;;lawyer;3157 days [8 year(s), 7 month(s), 22 day(s)];(1997-06-02 - 2000-06-28)|(2000-06-29 - 2004-06-27)|(2004-06-28 - 2004-08-31)|(2004-09-01 - 2006-01-22);3157 days [8 year(s), 7 month(s), 22 day(s)];;;;;;
The Hon. Jean Marchand, P.C., M.P., Senator;1918-12-20;Champlain, Quebec, Canada;1988-08-28;unionist;6568 days [17 year(s), 11 month(s), 24 day(s)];(1965-11-08 - 1968-06-24)|(1968-06-25 - 1976-10-25);4005 days [10 year(s), 11 month(s), 18 day(s)];;(1976-12-09 - 1983-12-15);2563 days [7 year(s), 6 day(s)];;;
Jean-Paul Marchand, M.P.;1944-09-13;Penetanguishene, Ontario, Canada;;professor, author;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;;;
The Hon. Leonard (Len) Stephen Marchand, P.C., M.P., Senator;1933-11-16;Vernon, British Columbia, Canada;2016-06-03;agricultural scientist;8977 days [24 year(s), 6 month(s), 28 day(s)];(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];;(1984-06-29 - 1998-03-01);4994 days [13 year(s), 8 month(s), 3 day(s)];Member of the Okanagan Indian Band of British Columbia.;;
The Hon. Sergio Marchi, P.C., M.P.;1956-05-12;Buenos Aires, Argentina;;urban planner, ambassador, executive assistant, businessman;5446 days [14 year(s), 10 month(s), 29 day(s)];(1984-09-04 - 1999-08-02);5446 days [14 year(s), 10 month(s), 29 day(s)];;;;;;
The Hon. Charles Marcil, P.C., M.P.;1860-07-01;Saint-Scholastique, Canada East;1937-01-29 (Died in Office);journalist;13233 days [36 year(s), 2 month(s), 23 day(s)];(1900-11-07 - 1937-01-29);13233 days [36 year(s), 2 month(s), 23 day(s)];;;;;;
The Hon. Serge Marcil, P.C., M.P.;1944-01-20;Salaberry-de-Valleyfield, Quebec, Canada;2010-01-12;business executive, school principal;1309 days [3 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2004-06-27);1309 days [3 year(s), 7 month(s), 30 day(s)];;;;Spouse of Christiane Pelchat, member of the National Assembly of Québec (1985-1994).;;
Simon Marcil, M.P.;;;;unionist, union representative;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;;;
Joseph Edmond Marcile, M.P.;1854-10-22;Contrecoeur, Canada East;1925-11-05 (Died in Office);merchant;9823 days [26 year(s), 10 month(s), 23 day(s)];(1898-12-14 - 1925-11-05);9823 days [26 year(s), 10 month(s), 23 day(s)];;;;;;
The Hon. Arthur Marcotte, Senator;1873-03-08;Montreal, Quebec, Canada;1958-08-18 (Died in Office);lawyer;9906 days [27 year(s), 1 month(s), 14 day(s)];;;;(1931-07-06 - 1958-08-18);9906 days [27 year(s), 1 month(s), 14 day(s)];;;
François Arthur Marcotte, M.P.;1866-09-25;Sainte-Anne de la Pérade, Canada East;1931-01-16;physician;1513 days [4 year(s), 1 month(s), 22 day(s)];(1896-06-23 - 1897-01-12)|(1897-04-07 - 1900-11-06);1513 days [4 year(s), 1 month(s), 22 day(s)];;;;;;
Guy Marcoux, M.P.;1924-02-21;Beauport, Quebec, Canada;2011-09-23;physician;1239 days [3 year(s), 4 month(s), 21 day(s)];(1962-06-18 - 1965-11-07);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;;;
Elphège Marier, M.P.;1888-07-31;Drummondville, Quebec, Canada;1978-01-01;lawyer;3537 days [9 year(s), 8 month(s), 7 day(s)];(1939-12-18 - 1949-08-23);3537 days [9 year(s), 8 month(s), 7 day(s)];;;;;;
Charles-Eugène Marin, C.M., M.P.;1925-10-29;Sainte-Anne-des-Monts, Quebec, Canada;2017-06-07;physician, psychiatrist;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;;
Inky Mark, M.P.;1947-11-17;Toysun, China;;businessman, teacher;4854 days [13 year(s), 3 month(s), 15 day(s)];(1997-06-02 - 2004-08-31)|(2004-09-01 - 2010-09-15);4854 days [13 year(s), 3 month(s), 15 day(s)];;;;;;
The Hon. Diane Marleau, P.C., M.P.;1943-06-21;Kirkland Lake, Ontario, Canada;2013-01-30;administrator, accountant;7267 days [19 year(s), 10 month(s), 23 day(s)];(1988-11-21 - 2008-10-13);7267 days [19 year(s), 10 month(s), 23 day(s)];;;;;;
The Hon. George Carlyle Marler, P.C., M.P.;1901-09-14;Montreal, Quebec, Canada;1981-04-10;notary;1239 days [3 year(s), 4 month(s), 21 day(s)];(1954-11-08 - 1958-03-30);1239 days [3 year(s), 4 month(s), 21 day(s)];;;;;;
The Hon. Sir Herbert Meredith Marler, P.C., M.P.;1876-03-07;Montreal, Quebec, Canada;1940-01-31;notary, diplomat, ambassador;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;;
Eugène Marquis, M.P.;1901-09-11;Saint-Alexandre de Kamouraska, Quebec, Canada;1994-11-15;Crown Attorney, lawyer;1535 days [4 year(s), 2 month(s), 13 day(s)];(1945-06-11 - 1949-08-23);1535 days [4 year(s), 2 month(s), 13 day(s)];;;;;;
The Hon. Lorna Marsden, Senator;1942-03-06;Sidney, British Columbia, Canada;;professor of sociology;3143 days [8 year(s), 7 month(s), 8 day(s)];;;;(1984-01-24 - 1992-08-31);3143 days [8 year(s), 7 month(s), 8 day(s)];Awarded the Order of Ontario (O.Ont.) in 2008.;;
John Allmond Marsh, M.P.;1894-03-06;Guelph, Ontario, Canada;1952-11-05;business executive;1100 days [3 year(s), 4 day(s)];(1937-03-22 - 1940-03-25);1100 days [3 year(s), 4 day(s)];;;;;;
David Marshall, M.P.;1846-10-26;Halton County, Canada West;1920-02-14 (Died in Office);businessman;4882 days [13 year(s), 4 month(s), 12 day(s)];(1906-10-04 - 1920-02-14);4882 days [13 year(s), 4 month(s), 12 day(s)];;;;;;
The Hon. Duncan McLean Marshall, Senator;1872-09-24;Elderslie Township, Ontario, Canada;1946-01-16 (Died in Office);newspaper owner, journalist, publisher, rancher;2919 days [7 year(s), 11 month(s), 27 day(s)];;;;(1938-01-20 - 1946-01-16);2919 days [7 year(s), 11 month(s), 27 day(s)];;;
The Hon. Elizabeth Marshall, Senator;;Stephenville Crossing, Newfoundland and Labrador, Canada;;senior public servant, chartered accountant, auditor;5898 days [16 year(s), 1 month(s), 24 day(s)];;;;(2010-01-29 - 2026-03-23);5898 days [16 year(s), 1 month(s), 24 day(s)];;;
The Hon. Jack Marshall, M.P., Senator;1919-11-26;Glace Bay, Nova Scotia, Canada;2004-08-17;military, businessman;9651 days [26 year(s), 5 month(s), 3 day(s)];(1968-06-25 - 1978-03-22);3558 days [9 year(s), 8 month(s), 28 day(s)];;(1978-03-23 - 1994-11-26);6093 days [16 year(s), 8 month(s), 6 day(s)];Awarded the Order of Ontario (O.Ont.) in 2003.;;
James Alexander Marshall, M.P.;1888-09-16;Lurgan, Ireland;1977-06-30;secretary, teacher;5005 days [13 year(s), 8 month(s), 14 day(s)];(1935-10-14 - 1949-06-26);5005 days [13 year(s), 8 month(s), 14 day(s)];;;;;;
Joseph Henry Marshall, M.P.;1854;London, Canada West;1919-06-06;farmer;3389 days [9 year(s), 3 month(s), 11 day(s)];(1887-02-22 - 1892-01-21)|(1892-02-11 - 1896-06-22);3389 days [9 year(s), 3 month(s), 11 day(s)];;;;;;
Wayne Marston, M.P.;1947-02-27;Sisson Ridge, New Brunswick, Canada;;property manager, technician;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;Recipient of the Medal of Bravery in 1987;;
Jean-Jacques Martel, M.P.;1927-01-03;Baie-du-Febvre, Quebec, Canada;2005-02-03;insurance broker;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;;;
Richard Martel, M.P.;;Chicoutimi, Quebec, Canada;;Head Coach and General Manager in the Quebec Major Junior Hockey League (QMJHL);2872 days [7 year(s), 10 month(s), 11 day(s)];(2018-06-18 - );2872 days [7 year(s), 10 month(s), 11 day(s)];;;;;French;
Lewis Herbert Martell, M.P.;1885-03-26;Main-à-Dieu, Nova Scotia, Canada;1962-08-24;lawyer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;;
Alan Gray Martin, M.P.;1930-12-12;Québec, Quebec, Canada;2022-01-20;chartered accountant;1779 days [4 year(s), 10 month(s), 14 day(s)];(1974-07-08 - 1979-05-21);1779 days [4 year(s), 10 month(s), 14 day(s)];;;;;;
Alexander Martin, M.P.;1842-03-14;Springton, Prince Edward Island, Canada;1921-04-13;farmer, merchant;3050 days [8 year(s), 4 month(s), 6 day(s)];(1896-06-23 - 1900-11-06)|(1904-11-03 - 1908-10-25);3050 days [8 year(s), 4 month(s), 6 day(s)];;;;;;
Alexander Munro Martin, M.P.;1852-12-21;Fergus, Canada West;1915-12-02;businessman;1423 days [3 year(s), 10 month(s), 23 day(s)];(1907-10-29 - 1911-09-20);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;;
Joseph Martin, M.P.;1852-09-24;Milton, Canada West;1923-03-02;newspaper owner, newspaper editor, lawyer, teacher;944 days [2 year(s), 7 month(s), 1 day(s)];(1893-11-22 - 1896-06-22);944 days [2 year(s), 7 month(s), 1 day(s)];;;;;;
The Hon. Keith P. Martin, P.C., M.P.;1960-04-13;London, England;;physician;6398 days [17 year(s), 6 month(s), 6 day(s)];(1993-10-25 - 2011-05-01);6398 days [17 year(s), 6 month(s), 6 day(s)];;;;;;
Médéric Martin, M.P.;1869-01-22;Montreal, Quebec, Canada;1946-06-12;industrialist;4044 days [11 year(s), 26 day(s)];(1906-11-21 - 1917-12-16);4044 days [11 year(s), 26 day(s)];;;;;;
Murdo William Martin, M.P.;1917-05-24;Gould, Quebec, Canada;1989-01-02;fire fighter, gentleman, broker;4033 days [11 year(s), 15 day(s)];(1957-06-10 - 1968-06-24);4033 days [11 year(s), 15 day(s)];;;;;;
Pat Martin, M.P.;1955-12-13;Winnipeg, Manitoba, Canada;;unionist, carpenter;6713 days [18 year(s), 4 month(s), 17 day(s)];(1997-06-02 - 2015-10-18);6713 days [18 year(s), 4 month(s), 17 day(s)];;;;;;
The Right Hon. Paul Edgar Philippe Martin, P.C., M.P.;1938-08-28;Windsor, Ontario, Canada;;lawyer, businessman;7267 days [19 year(s), 10 month(s), 23 day(s)];(1988-11-21 - 2008-10-13);7267 days [19 year(s), 10 month(s), 23 day(s)];;;;;;
The Right Hon. Paul Joseph James Martin, P.C., Q.C., M.P., Senator;1903-06-23;Ottawa, Ontario, Canada;1992-09-14;diplomat, lecturer, barrister, lawyer, ambassador;14262 days [39 year(s), 17 day(s)];(1935-10-14 - 1968-04-19);11877 days [32 year(s), 6 month(s), 6 day(s)];;(1968-04-20 - 1974-10-30);2385 days [6 year(s), 6 month(s), 11 day(s)];;;
The Hon. Peter Francis Martin, M.P., Senator;1856-01-13;Halifax, Nova Scotia, Canada;1935-05-02 (Died in Office);contractor;6304 days [17 year(s), 3 month(s), 4 day(s)];(1918-01-28 - 1921-12-04);1407 days [3 year(s), 10 month(s), 7 day(s)];;(1921-12-05 - 1935-05-02);4897 days [13 year(s), 4 month(s), 27 day(s)];;;
The Hon. Shirley Martin, P.C., M.P.;1932-11-20;Hamilton, Ontario, Canada;2021-09-16;business services manager, businesswoman;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;;;
Thomas Martin, M.P.;1850-05-21;Fergus, Canada West;1907-03-12 (Died in Office);miller;860 days [2 year(s), 4 month(s), 8 day(s)];(1904-11-03 - 1907-03-12);860 days [2 year(s), 4 month(s), 8 day(s)];;;;;;
Tony Martin, M.P.;1948-08-31;Drogheda, County Lough, Ireland;;community-development worker, businessman;2499 days [6 year(s), 10 month(s), 4 day(s)];(2004-06-28 - 2011-05-01);2499 days [6 year(s), 10 month(s), 4 day(s)];;;;;;
William Melville Martin, M.P.;1876-08-23;Norwich, Ontario, Canada;1970-06-22;lawyer, teacher;2916 days [7 year(s), 11 month(s), 24 day(s)];(1908-10-26 - 1916-10-19);2916 days [7 year(s), 11 month(s), 24 day(s)];;;;;;
The Hon. Yonah Martin, Senator;;Seoul, South Korea;;educator, community activist;6326 days [17 year(s), 3 month(s), 26 day(s)];;;;(2009-01-02 - );6326 days [17 year(s), 3 month(s), 26 day(s)];First Canadian of Korean origin appointed to the Senate.;English;
The Hon. Paul Raymond Martineau, P.C., Q.C., M.P.;1921-04-10;Bryson, Quebec, Canada;2010-03-19;Crown Attorney, lawyer;2779 days [7 year(s), 7 month(s), 9 day(s)];(1958-03-31 - 1965-11-07);2779 days [7 year(s), 7 month(s), 9 day(s)];;;;;;
Pierre-Raymond-Léonard Martineau, M.P.;1857-02-08;Montmagny, Canada East;1903-08-31 (Died in Office);prothonotary;1721 days [4 year(s), 8 month(s), 17 day(s)];(1898-12-14 - 1903-08-31);1721 days [4 year(s), 8 month(s), 17 day(s)];;;;;;
Soraya Martinez Ferrada, P.C., M.P.;;;;city councillor, advisor;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;;
Quinto Antonio Martini, M.P.;1908-08-15;Hamilton, Ontario, Canada;1975-07-27;real estate agent, real estate broker;1834 days [5 year(s), 8 day(s)];(1957-06-10 - 1962-06-17);1834 days [5 year(s), 8 day(s)];;;;First Canadian of Italian origin elected to the House of Commons. (Source Encyclopedia of Canada's peoples);;
The Hon. Sarabjit S. Marwah, Senator;;Asansol, West Bengal, India;;banker, corporate director;2493 days [6 year(s), 9 month(s), 28 day(s)];;;;(2016-11-10 - 2023-09-07);2493 days [6 year(s), 9 month(s), 28 day(s)];;;
Peter Paul Masniuk, M.P.;1920-02-17;Morweena, Manitoba, Canada;1995-10-21;section foreman;2395 days [6 year(s), 6 month(s), 21 day(s)];(1972-10-30 - 1979-05-21);2395 days [6 year(s), 6 month(s), 21 day(s)];;;;;;
The Hon. James Mason, Senator;1843-08-25;Toronto, Ontario, Canada;1918-07-16 (Died in Office);banker;1878 days [5 year(s), 1 month(s), 22 day(s)];;;;(1913-05-26 - 1918-07-16);1878 days [5 year(s), 1 month(s), 22 day(s)];;;
Arthur Massé, M.P.;1894-10-30;Kamouraska, Quebec, Canada;1972-10-25;professor, land surveyor, forest engineer;2786 days [7 year(s), 7 month(s), 16 day(s)];(1949-10-24 - 1957-06-09);2786 days [7 year(s), 7 month(s), 16 day(s)];;;;;;
Brian Masse, M.P.;1968-07-09;Windsor, Ontario, Canada;;professor, program coordinator;8386 days [22 year(s), 11 month(s), 16 day(s)];(2002-05-13 - 2025-04-27);8386 days [22 year(s), 11 month(s), 16 day(s)];;;;;;
The Hon. Marcel Massé, P.C., K.C., M.P.;1940-06-23;Montreal, Quebec, Canada;;economist, public servant, administrator;2147 days [5 year(s), 10 month(s), 17 day(s)];(1993-10-25 - 1999-09-10);2147 days [5 year(s), 10 month(s), 17 day(s)];;;;;;
The Hon. Marcel Masse, P.C., M.P.;1936-05-27;Saint-Jean-de-Matha, Quebec, Canada;2014-08-25;administrator, teacher;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;Father of Jean-Martin Masse, defeated candidate in federal general election, June 2, 1997, for Saint-Laurent—Cartierville, Québec.Spouse of one of the great granddaughters of Jean-Louis Martin, member of the Legislative Assembly of Quebec (1861).  Named Commander of the Ordre de la Pléiade in 1989 and Officer de la Légion d'Honneur in 1999. Awarded the title of Commander of the Ordre de la Pléiade in 2005.;;
Paul-André Massé, M.P.;1947-11-05;Saint-Jean, Quebec, Canada;2019-03-17;public servant;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;;;
Rémi Massé, M.P.;;Rivière-du-Loup, Quebec, Canada;;senior public servant, director general;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
Denton Massey, M.P.;1900-06-20;Toronto, Ontario, Canada;1984-01-25;engineer, minister;5005 days [13 year(s), 8 month(s), 14 day(s)];(1935-10-14 - 1949-06-26);5005 days [13 year(s), 8 month(s), 14 day(s)];;;;;;
The Hon. Paul J. Massicotte, Senator;;Saint-Boniface, Manitoba, Canada;;businessman;8112 days [22 year(s), 2 month(s), 16 day(s)];;;;(2003-06-26 - 2025-09-09);8112 days [22 year(s), 2 month(s), 16 day(s)];;;
James Masson, M.P.;1847-02-17;Seymour Township, Canada West;1903-12-24;lawyer;3409 days [9 year(s), 4 month(s)];(1887-02-22 - 1896-06-22);3409 days [9 year(s), 4 month(s)];;;;;;
The Hon. Louis-François-Rodrigue Masson, P.C., M.P., Senator;1833-11-06;Terrebonne, Lower Canada;1903-11-08;lawyer;11832 days [32 year(s), 4 month(s), 22 day(s)];(1867-09-20 - 1878-10-18)|(1878-11-06 - 1882-06-19);5369 days [14 year(s), 8 month(s), 13 day(s)];;(1882-09-29 - 1887-02-01)|(1890-02-03 - 1903-06-11);6463 days [17 year(s), 8 month(s), 11 day(s)];;;
Luc Hyacinthe Masson, M.P.;1811-08-16;Saint-Benoît, Lower Canada;1880-10-18;physician;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;;
Joseph-Aimé Massue, M.P.;1860-10-18;Saint-Aimé, Canada East;1891-04-10;person of independent means;1234 days [3 year(s), 4 month(s), 16 day(s)];(1887-10-18 - 1891-03-04);1234 days [3 year(s), 4 month(s), 16 day(s)];;;;;;
Louis Huet Massue, M.P.;1828-11-03;Varennes, Lower Canada;1891-06-17;farmer;3080 days [8 year(s), 5 month(s), 6 day(s)];(1878-09-17 - 1887-02-21);3080 days [8 year(s), 5 month(s), 6 day(s)];;;;;;
John Gerald (Jack) Masters, M.P.;1931-09-27;Fort William, Ontario, Canada;2024-01-05;insurance executive, broadcaster, sales manager;1660 days [4 year(s), 6 month(s), 16 day(s)];(1980-02-18 - 1984-09-03);1660 days [4 year(s), 6 month(s), 16 day(s)];;;;;;
Barry Mather, M.P.;1909-02-20;Condor, Alberta, Canada;1982-03-30;journalist, columnist;4403 days [12 year(s), 20 day(s)];(1962-06-18 - 1968-06-24)|(1968-06-25 - 1972-10-29)|(1972-10-30 - 1974-07-07);4403 days [12 year(s), 20 day(s)];;;;;;
John Ross Matheson, Q.C., M.P.;1917-11-14;Arundel, Quebec, Canada;2013-12-27;judge, barrister, lawyer;2584 days [7 year(s), 27 day(s)];(1961-05-29 - 1968-06-24);2584 days [7 year(s), 27 day(s)];;;;Known for his contribution to Canada's Flag and the development of the Order of Canada.;;
Joseph Matheson, M.P.;1833-05-07;Grand River, Nova Scotia, Canada;1915-09-23;merchant, postmaster;1457 days [3 year(s), 11 month(s), 26 day(s)];(1900-11-07 - 1904-11-02);1457 days [3 year(s), 11 month(s), 26 day(s)];;;;;;
Neil Alexander Matheson, M.P.;1904-08-25;Rose Valley, Prince Edward Island, Canada;1972-04-01;farmer, editor, journalist;1400 days [3 year(s), 9 month(s), 30 day(s)];(1953-08-10 - 1957-06-09);1400 days [3 year(s), 9 month(s), 30 day(s)];;;;;;
The Hon. Roderick Matheson, Senator;1793-12;Lochcarron, Ross-shire, Scotland;1873-01-13 (Died in Office);military, businessman;1910 days [5 year(s), 2 month(s), 23 day(s)];;;;(1867-10-23 - 1873-01-13);1910 days [5 year(s), 2 month(s), 23 day(s)];;;
Michel Mathieu, M.P.;1838-12-20;Sorel, Lower Canada;1916-07-30;lawyer, notary;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;;;
Irene Mathyssen, M.P.;1951-08-16;London, Ontario, Canada;;teacher, community activist;5019 days [13 year(s), 8 month(s), 28 day(s)];(2006-01-23 - 2019-10-20);5019 days [13 year(s), 8 month(s), 28 day(s)];;;;;;
Lindsay Mathyssen, M.P.;;;;;2016 days [5 year(s), 6 month(s), 7 day(s)];(2019-10-21 - 2025-04-27);2016 days [5 year(s), 6 month(s), 7 day(s)];;;;;;
Jean-Paul Matte, M.P.;1914-11-18;Saint-Tite, Quebec, Canada;1992-01-06;merchant, trader;2199 days [6 year(s), 8 day(s)];(1962-06-18 - 1968-06-24);2199 days [6 year(s), 8 day(s)];;;;;;
René Matte, M.P.;1935-02-11;Saint-Casimir, Quebec, Canada;2016-03;professor;3983 days [10 year(s), 10 month(s), 27 day(s)];(1968-06-25 - 1979-05-21);3983 days [10 year(s), 10 month(s), 27 day(s)];;;;;;
Bill Matthews, M.P.;1947-07-22;Grand Bank, Newfoundland, Canada;;teacher;4152 days [11 year(s), 4 month(s), 12 day(s)];(1997-06-02 - 2004-06-27)|(2004-06-28 - 2008-10-13);4152 days [11 year(s), 4 month(s), 12 day(s)];;;;;;
James Ewen Matthews, M.P.;1869-08-17;Albany, Prince Edward Island, Canada;1950-11-24 (Died in Office);journalist, insurance agent, teacher;4394 days [12 year(s), 11 day(s)];(1938-11-14 - 1950-11-24);4394 days [12 year(s), 11 day(s)];;;;;;
James Herbert Matthews, M.P.;1883-02-28;Spondon, Derbyshire, England;1972-09-03;clergyperson;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;;
The Hon. Robert Charles Matthews, P.C., M.P.;1871-06-14;Lindsay, Ontario, Canada;1952-09-19;gentleman, investment broker;3317 days [9 year(s), 30 day(s)];(1926-09-14 - 1935-10-13);3317 days [9 year(s), 30 day(s)];;;;;;
Walter Franklyn Matthews, M.P.;1900-03-21;Reston, Manitoba, Canada;1986-09-16;merchant;1540 days [4 year(s), 2 month(s), 18 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;;;;;
George Ritchie Maxwell, M.P.;1857-01-11;Stonehouse, South Lanarkshire, Scotland;1902-11-17 (Died in Office);minister;2338 days [6 year(s), 4 month(s), 25 day(s)];(1896-06-23 - 1902-11-17);2338 days [6 year(s), 4 month(s), 25 day(s)];;;;;;
Bryan May, M.P.;1974-09-19;Guelph, Ontario, Canada;;director;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
Elizabeth May, M.P.;1954-06-09;Hartford, Connecticut, United States;;activist, executive director, lawyer, environmentalist, writer;5476 days [14 year(s), 11 month(s), 28 day(s)];(2011-05-02 - );5476 days [14 year(s), 11 month(s), 28 day(s)];;;;;English;
Ralph Maybank, M.P.;1890-08-07;London, Ontario, Canada;1965-03-19;barrister;5672 days [15 year(s), 6 month(s), 10 day(s)];(1935-10-14 - 1951-04-24);5672 days [15 year(s), 6 month(s), 10 day(s)];;;;;;
